BHID,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH,BRG,DIP,COMMENTS,STATUT,Statuts
CT34_06,241863.8453,1379231.606,60,97,115,60,,Undrilled,Undrilled
CT34_09,241881.7019,1379223.169,70,97,115,60,,Undrilled,Undrilled
CT34_30,241976.7939,1379178.241,70,57,115,60,,Undrilled,Undrilled
CT35_01,241849.7079,1379224.461,40,90,115,60,,Undrilled,Undrilled
CT35_02,241858.5202,1379220.297,45,90,115,60,,Undrilled,Undrilled
CT35_04,241871.9454,1379213.954,65,95,115,60,,Undrilled,Undrilled
CT35_31,241905.2121,1379198.236,40,95,115,60,,Undrilled,Undrilled
CT35_32,241919.4904,1379191.49,35,79,115,60,,Undrilled,Undrilled
CT35_33,241980.2039,1379162.804,90,70,115,60,,Undrilled,Undrilled
CT35_36,242078.2226,1379116.493,101,45,115,60,,Undrilled,Undrilled
CT36_01,241827.0475,1379221.342,0,83,115,60,,Undrilled,Undrilled
CT36_02,241839.1225,1379215.637,0,70,115,60,,Undrilled,Undrilled
CT36_04,241841.9946,1379214.28,20,80,115,60,,Undrilled,Undrilled
CT36_05,241856.2633,1379207.539,40,90,115,60,,Undrilled,Undrilled
CT36_29,241907.1915,1379183.476,30,82,115,60,,Undrilled,Undrilled
CT36_30,241916.6313,1379179.016,40,82,115,60,,Undrilled,Undrilled
CT36_32,242061.1294,1379110.744,75,72,115,60,,Undrilled,Undrilled
CT37_01,241834.1753,1379201.709,25,92,115,60,,Undrilled,Undrilled
CT37_02,241845.3243,1379196.442,25,80,115,60,,Undrilled,Undrilled
CT37_03,241851.1338,1379193.697,35,80,115,60,,Undrilled,Undrilled
CT37_04,241862.5384,1379188.308,35,76,115,60,,Undrilled,Undrilled
CT37_05,241861.9535,1379188.585,55,90,115,60,,Undrilled,Undrilled
CT37_06,241874.4322,1379182.689,55,87,115,60,,Undrilled,Undrilled
CT37_07,241877.9588,1379181.023,70,90,115,60,,Undrilled,Undrilled
CT37_09,241906.3603,1379167.604,58,91,115,60,,Undrilled,Undrilled
CT37_10,241978.96,1379133.302,70,61,115,60,,Undrilled,Undrilled
CT37_11,242075.5098,1379087.684,104,70,115,60,,Undrilled,Undrilled
CT38_01,241851.4653,1379179.715,35,87,115,60,,Undrilled,Undrilled
CT38_02,241862.9744,1379174.277,35,78,115,60,,Undrilled,Undrilled
CT38_03,241875.0404,1379168.576,35,71,115,60,,Undrilled,Undrilled
CT38_04,241872.634,1379169.713,60,90,115,60,,Undrilled,Undrilled
CT38_05,241879.2904,1379166.568,70,96,115,60,,Undrilled,Undrilled
CT38_06,241919.4109,1379147.612,50,85,115,60,,Undrilled,Undrilled
CT38_07,241990.1296,1379114.199,92,85,115,60,,Undrilled,Undrilled
CT38_10,242088.8816,1379067.541,104,48,115,60,,Undrilled,Undrilled
CT39_01,241845.087,1379168.904,25,87,115,60,,Undrilled,Undrilled
CT39_02,241857.2284,1379163.167,25,78,115,60,,Undrilled,Undrilled
CT39_03,241869.149,1379157.535,25,69,115,60,,Undrilled,Undrilled
CT39_04,241867.153,1379158.478,50,90,115,60,,Undrilled,Undrilled
CT39_05,241878.8589,1379152.947,50,90,115,60,,Undrilled,Undrilled
CT39_06,241874.6585,1379154.932,80,90,115,60,,Undrilled,Undrilled
CT39_07,241885.4083,1379149.853,80,90,115,60,,Undrilled,Undrilled
CT39_17,241993.4884,1379098.787,90,90,115,60,,Undrilled,Undrilled
CT39_26,242095.5567,1379050.562,106,54,115,60,,Undrilled,Undrilled
CT39_32,242070.8085,1379062.255,75,59,115,60,,Undrilled,Undrilled
CT39_33,241844.3902,1379169.233,5,78,115,60,,Undrilled,Undrilled
CT39_34,241833.2114,1379174.515,5,90,115,60,,Undrilled,Undrilled
CT4_08,241988.6903,1379651.175,161,63,115,60,,Undrilled,Undrilled
CT4_10,242023.6961,1379636.107,165,30,115,60,,Undrilled,Undrilled
CT40_01,241855.1299,1379150.334,40,90,115,60,,Undrilled,Undrilled
CT40_02,241868.5373,1379143.999,40,90,115,60,,Undrilled,Undrilled
CT40_04,241882.2962,1379137.498,70,60,115,60,,Undrilled,Undrilled
CT40_24,241923.7119,1379117.93,20,90,115,60,,Undrilled,Undrilled
CT40_25,241945.81,1379107.489,35,90,115,60,,Undrilled,Undrilled
CT40_28,241907.8073,1379125.445,20,107,115,60,,Undrilled,Undrilled
CT41_01,241852.5674,1379137.719,10,90,115,60,,Undrilled,Undrilled
CT41_02,241864.0553,1379132.292,10,76,115,60,,Undrilled,Undrilled
CT41_03,241867.8883,1379130.481,25,90,115,60,,Undrilled,Undrilled
CT41_04,241878.3589,1379125.534,25,90,115,60,,Undrilled,Undrilled
CT41_06,241885.2054,1379122.299,55,90,115,60,,Undrilled,Undrilled
CT41_07,241896.4168,1379117.002,55,90,115,60,,Undrilled,Undrilled
CT41_08,241923.107,1379104.391,25,90,115,60,,Undrilled,Undrilled
CT41_09,241929.1426,1379101.539,35,90,115,60,,Undrilled,Undrilled
CT41_10,241942.565,1379095.198,35,90,115,60,,Undrilled,Undrilled
CT41_11,241965.7658,1379084.236,10,51,115,60,,Undrilled,Undrilled
CT41_13,241974.6631,1379080.032,35,59,115,60,,Undrilled,Undrilled
CT41_15,241988.9267,1379073.293,50,61,115,60,,Undrilled,Undrilled
CT41_16,242004.8136,1379065.787,51,111,115,60,,Undrilled,Undrilled
CT41_17,242011.6001,1379062.58,70,52,115,60,,Undrilled,Undrilled
CT41_19,242050.0716,1379044.403,55,71,115,60,,Undrilled,Undrilled
CT41_31,242024.5719,1379056.451,70,103,115,60,,Undrilled,Undrilled
CT42_01,241861.6415,1379119.607,15,90,115,60,,Undrilled,Undrilled
CT42_02,241873.4891,1379114.009,15,90,115,60,,Undrilled,Undrilled
CT42_06,241888.878,1379106.738,51,90,115,60,,Undrilled,Undrilled
CT42_07,241900.6735,1379101.165,50,90,115,60,,Undrilled,Undrilled
CT42_08,241904.3774,1379099.415,64,90,115,60,,Undrilled,Undrilled
CT42_09,241916.225,1379093.818,65,90,115,60,,Undrilled,Undrilled
CT42_12,241988.9705,1379059.447,51,90,115,60,,Undrilled,Undrilled
CT42_15,242055.4651,1379028.03,56,63,115,60,,Undrilled,Undrilled
CT42_28,242043.0082,1379033.915,55,98,115,60,,Undrilled,Undrilled
CT43_03,241866.8063,1379103.342,15,90,115,60,,Undrilled,Undrilled
