BHID,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH,BRG,DIP,COMMENTS,STATUT,Statuts
CT49_33,241896.2011,1379006.504,50,95,115,60,,Undrilled,Undrilled
CT49_34,241890.4161,1379009.237,35,95,115,60,,Undrilled,Undrilled
CT49_35,241882.4198,1379013.015,25,95,115,60,,Undrilled,Undrilled
CT50_01,241901.3033,1378990.268,45,84,115,60,,Undrilled,Undrilled
CT50_02,241912.9503,1378984.765,44,90,115,60,,Undrilled,Undrilled
CT50_03,241924.1815,1378979.458,45,67,115,60,,Undrilled,Undrilled
CT50_04,241927.0152,1378978.119,60,92,115,60,,Undrilled,Undrilled
CT50_05,241933.3081,1378975.146,70,79,115,60,,Undrilled,Undrilled
CT50_06,241944.4659,1378969.874,70,87,115,60,,Undrilled,Undrilled
CT50_24,242126.6657,1378883.789,115,53,115,60,,Undrilled,Undrilled
CT50_25,242137.7828,1378878.536,115,40,115,60,,Undrilled,Undrilled
CT51_01,241893.3289,1378980.211,35,81,115,60,,Undrilled,Undrilled
CT51_02,241905.1875,1378974.608,35,89,115,60,,Undrilled,Undrilled
CT51_03,241915.9885,1378969.504,35,80,115,60,,Undrilled,Undrilled
CT51_04,241919.0128,1378968.075,50,90,115,60,,Undrilled,Undrilled
CT51_05,241931.4899,1378962.18,50,80,115,60,,Undrilled,Undrilled
CT51_06,241931.118,1378962.356,70,90,115,60,,Undrilled,Undrilled
CT51_07,241942.6469,1378956.909,70,90,115,60,,Undrilled,Undrilled
CT51_24,242124.3236,1378871.071,115,81,115,60,,Undrilled,Undrilled
CT51_25,242137.6136,1378864.791,115,81,115,60,,Undrilled,Undrilled
CT52_01,241899.6745,1378963.387,45,82,115,60,,Undrilled,Undrilled
CT52_02,241910.6465,1378958.203,45,90,115,60,,Undrilled,Undrilled
CT52_03,241922.1941,1378952.747,45,65,115,60,,Undrilled,Undrilled
CT52_05,241937.7098,1378945.417,80,93,115,60,,Undrilled,Undrilled
CT52_14,242100.9682,1378868.281,115,84,115,60,,Undrilled,Undrilled
CT52_15,242114.3986,1378861.935,115,70,115,60,,Undrilled,Undrilled
CT52_16,242132.43,1378853.416,125,53,115,60,,Undrilled,Undrilled
CT52_17,242143.4411,1378848.213,125,40,115,60,,Undrilled,Undrilled
CT52_18,242152.477,1378843.944,130,38,115,60,,Undrilled,Undrilled
CT52_19,242160.2799,1378840.257,135,34,115,60,,Undrilled,Undrilled
CT53_01,241886.2231,1378955.918,55,98,115,60,,Undrilled,Undrilled
CT53_02,241898.2809,1378950.221,55,90,115,60,,Undrilled,Undrilled
CT53_03,241909.9706,1378944.698,55,95,115,60,,Undrilled,Undrilled
CT53_04,241920.1449,1378939.891,56,78,115,60,,Undrilled,Undrilled
CT53_05,241932.4841,1378934.061,55,78,115,60,,Undrilled,Undrilled
CT53_06,241933.35,1378933.651,75,80,115,60,,Undrilled,Undrilled
CT53_07,241942.2255,1378929.458,80,87,115,60,,Undrilled,Undrilled
CT53_09,241957.3787,1378922.298,95,85,115,60,,Undrilled,Undrilled
CT53_20,242121.8083,1378844.609,120,57,115,60,,Undrilled,Undrilled
CT53_21,242131.4312,1378840.062,124,51,115,60,,Undrilled,Undrilled
CT53_22,242139.9383,1378836.043,130,50,115,60,,Undrilled,Undrilled
CT53_23,242148.5849,1378831.958,135,62,115,60,,Undrilled,Undrilled
CT54_05,241934.2681,1378919.393,80,83,115,60,,Undrilled,Undrilled
CT54_06,241945.809,1378913.94,80,81,115,60,,Undrilled,Undrilled
CT54_18,242115.1808,1378833.915,125,67,115,60,,Undrilled,Undrilled
CT54_19,242126.7384,1378828.455,125,56,115,60,,Undrilled,Undrilled
CT54_20,242135.1342,1378824.488,130,54,115,60,,Undrilled,Undrilled
CT54_21,242143.942,1378820.326,135,49,115,60,,Undrilled,Undrilled
CT54_24,241901.2252,1378935.005,55,90,115,60,,Undrilled,Undrilled
CT54_25,241913.1983,1378929.348,55,81,115,60,,Undrilled,Undrilled
